place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
1,3,GOOD RUNNERS WAY(C127),Z Purton,C S Shum,131,1072,6,-,"3                                                            

3                                                            

2                                                            

1",1:35.48,2.2,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
2,4,REGENCY GEM(C035),J Moreira,W Y So,129,1179,7,SH,"9                                                            

8                                                            

8                                                            

2",1:35.50,4.9,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
3,7,PROUD SKY(V406),K Teetan,L Ho,121,1053,4,1/2,"5                                                            

4                                                            

3                                                            

3",1:35.57,18,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
4,2,LE PANACHE(V369),A Sanna,D J Whyte,132,1076,3,1-1/4,"4                                                            

6                                                            

6                                                            

4",1:35.68,5.7,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
5,1,GOLD VELVET(V400),L Hewitson,A T Millard,133,1155,8,1-1/2,"8                                                            

7                                                            

7                                                            

5",1:35.71,7,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
6,9,ROMANTIC JOURNEY(B107),H T Mo,C W Chang,112,1085,1,1-3/4,"1                                                            

1                                                            

1                                                            

6",1:35.77,19,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
7,5,WICKER(B425),N Callan,R Gibson,126,1118,9,2,"7                                                            

9                                                            

9                                                            

7",1:35.79,50,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
8,6,WHAMPOA STAR(B146),M F Poon,Y S Tsui,119,1139,5,7-1/2,"2                                                            

2                                                            

4                                                            

8",1:36.67,14,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
9,8,YOUNG GLORY(B292),M Chadwick,D E Ferraris,120,1207,2,10-1/2,"6                                                            

5                                                            

5                                                            

9",1:37.15,21,1(1),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
1,13,ADONIS(A324),R Bayliss,D J Whyte,122,1062,12,-,"10                                                            

9                                                            

1",1:09.99,6.7,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
2,2,KWAI CHUNG ELITE(C173),B Shinn,R Gibson,133,1111,13,2-1/2,"12                                                            

12                                                            

2",1:10.38,11,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
3,8,GOLDEN CANNON(T022),C Y Ho,K W Lui,130,958,10,2-1/2,"14                                                            

14                                                            

3",1:10.39,30,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
4,14,LEISURED FEET(A277),J Moreira,W Y So,116,1176,9,3,"2                                                            

2                                                            

4",1:10.49,3.5,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
5,7,NEVER BETTER(T140),Z Purton,P O'Sullivan,131,1188,14,3-1/4,"13                                                            

10                                                            

5",1:10.50,7.4,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
6,1,BLADE RACER(C097),G van Niekerk,C S Shum,133,1018,5,4,"1                                                            

1                                                            

6",1:10.63,20,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
7,4,GOUTEN OF GARO(A291),N Callan,D E Ferraris,132,1101,11,4-1/2,"8                                                            

7                                                            

7",1:10.72,21,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
8,3,CURLING LUXURY(A083),H N Wong,Y S Tsui,129,1044,1,4-1/2,"3                                                            

3                                                            

8",1:10.72,39,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
9,10,SKY GEM(C251),A Sanna,C Fownes,129,1188,8,4-1/2,"11                                                            

13                                                            

9",1:10.72,86,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
10,5,HARBOUR CENTURY(A407),C Schofield,C W Chang,131,1160,7,5-3/4,"7                                                            

8                                                            

10",1:10.90,6.5,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
11,9,MAJESTIC ENDEAVOUR(A399),M Chadwick,C Fownes,130,1177,4,6-1/4,"9                                                            

11                                                            

11",1:10.98,13,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
12,11,HAPPY COOPERATION(T392),K C Leung,K L Man,128,1130,6,6-1/4,"5                                                            

5                                                            

12",1:10.99,34,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
13,12,RICHCITY FORTUNE(V088),K H Chan,K H Ting,118,1159,3,6-1/4,"4                                                            

4                                                            

13",1:11.01,10,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
14,6,MY DEAR(B445),K Teetan,A S Cruz,131,1020,2,11,"6                                                            

6                                                            

14",1:11.77,24,2(2),Class 5 - 1200M - (40-0),GOOD,"TURF - ""B"" Course","HK$ 725,000",Sha Tin,2019/09/01
1,5,REGENCY LEGEND(B348),Z Purton,C S Shum,120,1099,5,-,"2                                                            

2                                                            

1",1:08.74,1.6,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
2,2,SEASONS BLOOM(V410),B Shinn,C S Shum,132,1049,1,1-1/2,"6                                                            

5                                                            

2",1:08.99,8.1,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
3,6,JOLLY BANNER(V077),M F Poon,P F Yiu,115,1078,7,2-1/2,"5                                                            

6                                                            

3",1:09.15,50,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
4,7,STYLING CITY(B280),J Moreira,J Moore,115,1168,2,4,"1                                                            

1                                                            

4",1:09.40,3.9,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
5,1,WISHFUL THINKER(B180),K Teetan,R Gibson,133,1167,4,5,"3                                                            

3                                                            

5",1:09.52,8.8,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
6,3,WINNER'S WAY(A025),A Domeyer,A S Cruz,124,1096,3,6,"7                                                            

7                                                            

6",1:09.71,35,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
7,4,CALIFORNIA FORTUNE(A415),A Sanna,D J Whyte,120,1256,6,6-1/4,"4                                                            

4                                                            

7",1:09.73,28,3(3),Class 1 - 1200M - (90+),GOOD,"TURF - ""B"" Course","HK$ 2,800,000",Sha Tin,2019/09/01
1,3,CALIFORNIA GUNGHO(B204),A Domeyer,A S Cruz,130,1119,11,-,"2                                                            

3                                                            

1",1:09.42,8.5,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
2,10,LUCKY GUY(T349),B Shinn,C H Yip,124,1198,1,1-1/2,"9                                                            

9                                                            

2",1:09.68,4.6,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
3,2,FALCON TURBO(B164),C Y Ho,D J Whyte,132,1132,5,1-3/4,"12                                                            

11                                                            

3",1:09.70,4.2,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
4,6,E STAR(C132),K C Leung,K L Man,129,1027,12,1-3/4,"5                                                            

5                                                            

4",1:09.71,34,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
5,5,TOP SCORE(V357),Z Purton,K W Lui,130,1137,8,2-1/4,"10                                                            

10                                                            

5",1:09.78,6.2,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
6,9,LITTLE THUNDER(C453),J Moreira,A T Millard,124,1114,4,2-3/4,"6                                                            

6                                                            

6",1:09.85,39,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
7,8,BLASTOISE(C450),N Callan,D E Ferraris,124,1027,7,3,"8                                                            

8                                                            

7",1:09.92,17,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
8,14,TELECOM ROCKET(C137),K Teetan,Y S Tsui,118,1056,10,3-1/4,"7                                                            

7                                                            

8",1:09.93,7.8,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
9,4,GINTOKI(C216),M L Yeung,T P Yung,128,1123,3,3-3/4,"4                                                            

4                                                            

9",1:10.00,18,4(4),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B"" Course","HK$ 967,000",Sha Tin,2019/09/01
