place,horse_no,horse,jockey,trainer,actual_weight,declared_horse_weight,draw,lbw,running_position,finish_time,win_odds,race,class,going,turf,prize,location,date
11,10,SOLAR BILLION(C171),H W Lai,K L Man,123,1110,10,8-1/4,"9                                                            

8                                                            

10                                                            

11",1:36.37,84,2(455),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B+2"" Course","HK$ 725,000",Sha Tin,2020/03/01
12,8,GOLDEN GENERAL(A346),H T Mo,K H Ting,127,1180,14,8-1/4,"8                                                            

5                                                            

7                                                            

12",1:36.40,210,2(455),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B+2"" Course","HK$ 725,000",Sha Tin,2020/03/01
13,12,MONEY WINNER(A055),C Wong,Y S Tsui,117,1045,13,8-3/4,"13                                                            

12                                                            

11                                                            

13",1:36.47,36,2(455),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B+2"" Course","HK$ 725,000",Sha Tin,2020/03/01
WV-A,3,CHAPARRAL STAR(A220),C Y Ho,C Fownes,132,---,---,---,---,---,---,2(455),Class 5 - 1600M - (40-0),GOOD,"TURF - ""B+2"" Course","HK$ 725,000",Sha Tin,2020/03/01
1,7,AMAZING CHOCOLATE(C059),C Schofield,A T Millard,126,1186,1,-,"6                                                            

4                                                            

3                                                            

1",1:21.64,11,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
2,14,FAMILY LEADER(C089),L Hewitson,C Fownes,118,1167,9,4-3/4,"12                                                            

10                                                            

9                                                            

2",1:22.40,81,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
3,12,SUPER WINNER(C341),A Badel,C H Yip,122,1186,11,4-3/4,"8                                                            

5                                                            

1                                                            

3",1:22.41,3.4,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
4,13,GALAXY EMPEROR(D107),K Teetan,A S Cruz,120,1069,3,5,"1                                                            

2                                                            

2                                                            

4",1:22.45,37,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
5,11,BRIGHT KID(C060),B Shinn,D J Whyte,123,1166,6,5-3/4,"11                                                            

12                                                            

10                                                            

5",1:22.57,7.9,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
6,6,WINSTON'S LAD(T348),C Y Ho,K W Lui,127,1061,14,6-3/4,"13                                                            

13                                                            

13                                                            

6",1:22.71,11,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
7,1,PERFECT PAIR(C027),Z Purton,W Y So,133,1086,2,7,"7                                                            

9                                                            

7                                                            

7",1:22.75,3,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
8,9,SPEED FAY FAY(D121),M L Yeung,T P Yung,125,1285,5,7-3/4,"10                                                            

7                                                            

5                                                            

8",1:22.88,9.6,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
9,5,STUNNING IMPACT(C366),N Callan,P O'Sullivan,127,1030,12,8,"3                                                            

3                                                            

4                                                            

9",1:22.91,99,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
10,4,BULLETPROOF(D219),M Chadwick,P F Yiu,127,1063,7,9-1/4,"9                                                            

11                                                            

11                                                            

10",1:23.11,31,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
11,2,LASTING FRIENDSHIP(B251),K C Leung,L Ho,131,1119,10,9-1/4,"5                                                            

8                                                            

8                                                            

11",1:23.11,16,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
12,3,PRETTY BAUHINIA(A135),H N Wong,Y S Tsui,126,1068,8,10-1/2,"14                                                            

14                                                            

14                                                            

12",1:23.31,43,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
13,10,FOREVER SHARP(C467),M F Poon,C S Shum,122,1066,4,10-1/2,"4                                                            

6                                                            

6                                                            

13",1:23.33,92,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
14,8,SO HAPPY(D076),H W Lai,K L Man,125,1073,13,63,"2                                                            

1                                                            

12                                                            

14",1:31.71,191,3(456),Class 4 - 1400M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
1,5,ETERNAL HARVEST(D180),C Schofield,P F Yiu,127,1120,5,-,"1                                                            

1                                                            

1",1:09.44,3.5,4(457),Class 4 - 1200M - (60-40),GOOD,"TURF - ""B+2"" Course","HK$ 967,000",Sha Tin,2020/03/01
